Search,Search Count,Last Search Date
"( | ext:pbix;pbit;pq;csv;ps1 ) ( path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" )  dm:last8hours path:  me:",4,133052151797911653
"( ext:pbix ext:pbix;pbit;pq;csv;ps1 ) ( path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" )  dm:last8hours path:  me:",2,133052151766214500
"ext:PS1;ipynb dm:last3days (path:hist | path:nan)         !path:%Appdata%",1,133052149858129462
"ext:PS1;ipynb dm:last72hours me: (path:hist | path:nan)",1,133051711040012256
"powerbi ext:dll dm:>2016  tabular",7,133051710780081333
"ext:ps1 path:hist me:",1,133050758477809008
"ext:pbix;pq;pqm dm:last3months",1,133049998825404540
"ext:pbix dm:last3months",5,133049998750777487
"ext:ps1;pqm;pq dm:thisweek dm:last10minutes",1,133049998329690020
"ext:ps1 dm:thisweek me:",2,133049941432999309
"dm:last3weeks path:c:\nin_temp",3,133049578028514330
"ext:pbix ( dm:last18hours | dm:last30days ) me:",2,133048878096587577
"ext:exe;cmd;ps1 tabular",7,133048805621192554
"ext:pbix dm:last18hours",1,133048709564017365
"ext:pbix dm:last8hours",2,133048331190492877
"ext:gif splatex",1,133048245191159033
"ext:ipynb dm:last3weeks me:",2,133047368022726782
"ext:cs;ps1 dm:>2016 mashup",3,133047257805349645
"ext:pbix dm:last2months me:",1,133047252487630740
"ext:dll dm:>2016 mashup",1,133047245359139381
"powerbi ext:dll dm:>2020  ",1,133047243457818603
"powerbi ext:dll dm:>2021  notLocale:",1,133047240876974791
"powerbi ext:dll dm:>2021",1,133047233605741227
"powerbi ext:dll",1,133047233047292105
"PowerBIExtensions",1,133047218406668845
"ext:ps1 (path:power ) !path:dfinke",1,133047218041783144
"ext:ps1 (path:power| path:query | Path:pivot ) !path:dfinke",1,133047217929498993
"ext:ps1 (path:power| path:query | Path:pivot )",1,133047207668824800
"ext:ps1 (path:power path:query | Path:pivot )",1,133047206486587569
"ext:png;svg path:elephant me:",1,133047153296714548
"ext:png;svg path:elephant",1,133047153160572841
"ext:pbix dm:last3days",11,133047153042484139
"dm:last5minutes path:power",2,133044837143972822
"ext:pq dm:last7months me:",2,133044739795497940
"dm:last5minutes ext:log;jsonl",3,133044443810295572
"ext:pbix dm:last4days path:svg",2,133043907106988865
"ext:ipynb;ps1 dm:last12months me: (path:web | path:scrape | path:xpath | path:query)",9,133043276489336131
"ext:dib;ipynb;ps1;md  dm:last4weeks ( path:importex| path:excel | )  ext:ipynb;dib",1,133043191191456660
"ext:ipynb me: dm:last4weeks ( path:importex| path:excel ) ",1,133043190519156582
"ext:pbix dm:last1months dm:last3weeks me:",1,133042239153206805
"ext:pbix dm:last1months template",2,133042238789924241
"ext:ps1;ipynb me: path:parse | path:html",2,133042238699273891
"ext:ps1;ipynb me: path:jeop",2,133042228202038044
"ext:pbix dm:yesterday",2,133042218907573491
"ext:ps1 dm:yesterday",1,133041981125756717
"ext:pbix dm:last1months",2,133041949312706359
"ext:pbix dm:last1months svg",1,133041321328361539
"ext:pbix dm:last3months me:",8,133040318491112302
"dm:>=07/1/2022 size:>=5mb  ext:log;csv;json;jsonl !path:""Iron har""",1,133040236085786851
"dm:>=07/1/2022 size:>=5mb ",2,133039335656752698
"( ext:pbix;pbit;md;ps1 ) path:svg",2,133039334596012786
