Search,Search Count,Last Search Date
"( !path:firefox  dm:last1minutes      ) ( light | file:lghub | )             ( !path:spot !path:onedrive !path:onenote )",1,132663736932573785
"( !path:firefox  dm:last1minutes      ) ( light | file:lghub | )             ( !path:spot )",1,132663736100082731
"( !path:firefox  dm:last3minutes      ",1,132663566785490389
"dm:last3minutes      ( !path:firefox)",1,132663565794385673
"star wars ",1,132662677037590557
"ext:pbix;pq odata",3,132662643200356790
"ext:pbix;pq",4,132661989313120447
"ext:pbix dm:last20seconds",1,132661988355055830
"%localappdata%\GithubDesktop file:ww:git",1,132661810905820455
"%localappdata%\GithubDesktop",1,132661810103324991
"'app-2.8.1/resources/app/static/github.sh'",2,132661809014027153
"path:ww:""C:\Users\cppmo_000\Downloads"" ( ext:pdf )",1,132661729209335320
"""C:\Users\cppmo_000\Downloads"" ( ext:mp3;ogg;oog;flac;zip;7zip ) ( sound)",1,132661728425801844
"ext:pbix array",5,132661727518418365
"( path:music | path:OST ) ( ext:mp3;mp4;ogg;oog;flac )",1,132661684150535603
"ext:ps1 array slow",1,132656712073499445
"path:power path:shell path:format",2,132656507914394294
"( dm:last45seconds ) ( logi | path:logi | lghub | path:lghub |)",4,132655948964667845
"( dm:last90seconds ) ( logi | path:logi | lghub | path:lghub |)",1,132655870509378223
"( path:%userprofile%\Documents\2020 | path:%userprofile%\Documents\2020 )   ext:ps1 ",7,132655866331315631
"dm:last900seconds",1,132655827951448116
"dm:yesterday ext:ps1",1,132654015778914223
"ext:png;jpg;jpeg ( waiaas | path:waiaas )",2,132653469653046840
"ext:png;jpg;jpeg waiaas",1,132653327213049797
"ext:code-workspace cheat nin",2,132653327012523394
"ext:pq table json",1,132650530588791158
"ext:pbix;pq;md ( ( table | type | record ) | ( dm:last72hours ) )",6,132650530511647352
"ext:pbix trans",1,132649957200458739
"ext:pbix dm:last2weeks",1,132649954821318112
"ext:pq;pbix ( table | type | record ) | ( dm:yesterday )",1,132648802531414129
"ext:pbix ( ( table | type | record ) | ( dm:last72hours ) )",1,132648801906534024
"ext:pbix ( table | type | record )",3,132648801419900730
"ext:pbix ( error | http | status )",1,132648093631072157
"ext:pbix ( error | http | status )w",1,132648093581940859
"dm:last7days ext:dax",2,132648036665409298
"dm:last48hours ext:pbix;xlsx;pq;dax",2,132644824562882301
"dm:last300minutes ext:pbix;xlsx;pq",2,132644822730363986
"dm:last20minutes ext:pbix",2,132644669560989555
"dm:today ext:pbix",7,132644397339930405
"ext:dax",1,132644390864119856
"ext:pq content:""Table.TransformRows""",2,132644390816063191
"( ext:png dm:today path:ww:documents )  | ( ""C:\Users\cppmo_000\Documents\2021\reporting_bugs"" ext:png;gif)",3,132643849906496467
"ext:png dm:today path:ww:documents",1,132643711329520564
"ext:zip dm:today",2,132643711185013650
"ext:txt factor",1,132643563018532267
"ext:txt",1,132643557028253291
"ext:pq !path:fork content:help",2,132643556951165963
"ext:pq content:help",1,132643058617885661
"regex:[^\x00-\x7f]",3,132643058399720828
"2019: no_venv: ext_py: typing content:main (utf8content:m) (utf8content:⇽)",2,132643012238540905
"""C:\Program Files\Git"" ext_config:",2,132643012073486369
" ext_py:          utf8:file:(⇽|🐈 utf8:content:⁅     utf8:content:#8261                     2019: no_venv: ""C:\Users\cppmo_000\Documents\2019\python\PoC\PoC_1-offs\1-off wip""",2,132643012019193684
"ext:pbix measure",2,132642991240596781
"path:factorio ext:ps1",2,132642204058043053
"ext:log dm:today rout",1,132641011202903009
"ext:log dm:today",1,132641011102273298
"ext:pbix butt",1,132640901402382951
"ext:code-workspace powershell",2,132640325345789561
