Search,Search Count,Last Search Date
"ext:yml                 path:""H:\data\2023\pwsh\GitLogger¦aws-test\source\root3\aws-lambda-powershell-runtime""",1,133228638909015002
"onboarding ext:xlsx",2,133228638446685400
"ext:log dm:last2hours size:>0",1,133228539762887858
"ext:log dm:last2hours",1,133228539614492914
"ext:ps1;xlsx dm:last20hours",1,133228527820459019
"ext:ps1 path:totals",1,133227632715860657
"dm:last18hours ( path:UGIT )",3,133227606810330195
"ext:xlsx dm:last30hours",1,133227225265431087
"ext:code-workspace dm:last30days (  !me: | me: )",1,133226935821565452
"ext:code-workspace dm:last30days (  !me: )",1,133226935615270055
"dm:last18hours ( path:docker | ext:vhdx )",4,133226934706580579
"dm:last2days ( path:docker | ext:vhdx )",1,133226428910128026
"ext:yaml dm:last3months  path:*compose*",3,133226428684286640
"dm:last3months path:dock",1,133225310213106222
"dm:last2hours size:>10mb",3,133225309399636694
"dm:last2hours ext:vhdx",3,133225305319148262
"dm:last2HOURS",1,133225304671347752
"ext:ps1;ipynb dm:last29months ( )    ( me: ) ",6,133225304254501201
"dm:last10minutes ",1,133225291477420421
"dm:last30days  ( file:Dockerfile | file:docker-compose.yml )",1,133225234101957494
"dm:last30days path:wsl                 ",2,133225233806290906
"dm:last3weeks size:>=200mb   path:c",1,133225217278647026
"dm:last3weeks size:>=200mb",1,133225216488450291
"size:100mb..100gb dm:last3months size:>200mb ",2,133225216026623437
"dm:last3months ( path:docker file: ( size:>1mb ) )",1,133225210054800776
"dm:last3months ( path:docker file: | ( dm:last",1,133225207365809071
"dm:last3months path:docker file:",1,133225206891352270
"      ( !path:ww:""C:\Program Files (x86)"" !path:ww:"".rustup"" )   ( ( ext:vhdx ) | ( path:docker ) | ( path:wsl )  ) ( file: )",1,133225205648057624
"          ( !path:ww:""C:\Program Files (x86)"" !path:ww:"".rustup"" )   ( ( ext:vhdx ) | ( path:docker ) | ( path:wsl )  ) file:",1,133225204940006779
"          ( !path:ww:""C:\Program Files (x86)"" !path:ww:"".rustup"" )   ( ( ext:vhdx ) | ( path:docker ) | ( path:wsl )  )",1,133225204584881262
"( !path:ww:""C:\Program Files (x86)""  )   ( ( ext:vhdx ) | ( path:docker ) | ( path:wsl )  )",1,133225203258309564
"( ( ext:vhdx ) | ( path:docker ) | ( path:wsl )  )",1,133225202603434155
"H:\data\client_bdg\aws\mini-lambda\simple-awsLambda\serverless-patterns\lambda-powershell-runtime-sam\.aws-sam\build\PowerShellFunction\bdg_lib",1,133223432874337841
"ext:json path:bdg",1,133223430060292865
"ext:json ",2,133223429629202586
"dm:last9months ext:json CoResourceMapping",1,133223429188598223
"ext:ps1 dm:last9months ( path:encode | path:byte ) ",1,133222725781553691
"( path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self\"" )  co_schema_89849",2,133222723209369347
"dm:last3weeks ext:md;xlsx",2,133220970541210866
"ext:xlsx dm:last3weeks ",1,133219925492929964
"ext:xlsx dm:todayh",1,133219924382432465
"ext:toml dm:last3weeks samconfig.toml",2,133219828894735125
"dm:last3weeks ext:yml template",2,133218977345095646
"ext:ps1 dm:last3days  !path:sketches",1,133218047707879027
"ext:ps1 dm:last3days ",1,133218046812816802
"ext:log dm:last10minutes",1,133217320660948062
"ext:yml dm:last122hours template",1,133217266715276339
"ext:yml dm:last122hours",1,133217266335841291
"ext:yml dm:last72hours",1,133217255335007194
"( ext:xlsx dm:last2hours )",2,133217253408447530
"( ext:log dm:last5minutes  ) | ( ext:xlsx dm:last2hours )",1,133215632018652573
"ext:log dm:last20minutes ",1,133215564149641905
"ext:log dm:last3hours ( dm:last20minutes )",1,133215537542134098
"ext:log dm:last3hours ( dm:last20minutes ) ( me: ) ",1,133215537332749550
"ext:toml ( path:aws | path:bdg ) dm:last90days  ( !path:cargo )",3,133215537081560275
"ext:toml dm:last3days",1,133215207998538484
"ext:toml samconfig",1,133215207870488241
"ext:toml samconfig content:""SamAppStack2023""",4,133215200475116714
"ext:toml ( path:aws | path:bdg ) dm:last90days",1,133215195204509140
"ext:toml ( path:aws | path:bdg )",2,133215191865512655
"ext:ps1;xlsx dm:last2weeks ( me: ) ",3,133215191795611253
"ext:yml content:SamAppStack2023",1,133214624891311174
"ext:xlsx dm:today   ",2,133214620561204659
"ext:xlsx dm:today   (  !path:""%LocalAppData%\Microsoft\Windows"" )",1,133213746385349093
"ext:xlsx dm:today   (  | !path:""%LocalAppData%\Microsoft\Windows"" )",1,133213746316867512
"ext:xlsx dm:today   (  path:""%AppData%"" | ) path:""%LocalAppData%\Microsoft\Windows""",1,133213746133013068
"ext:xlsx dm:today   (  path:""%AppData%"" | )",1,133213745291556021
"ext:xlsx dm:today   path:""%AppData%""",1,133213745204477564
"ext:xlsx dm:today ",1,133213736488835277
"ext:xlsx dm:last2weeks ( me: ) ",2,133213736281335944
"ext:ps1;md ( path:xpath | path:query ) ( me: ) ",2,133213705974453831
"ext:ps1;md;code-workspace dm:last2weeks      ext:code-workspace",1,133213308109073770
"ext:ps1;md;code-workspace  ( me: )          ext:code-workspace",1,133213306959738334
"ext:ps1;md;code-workspace  ( me: ) ",1,133213306654474670
"ext:ps1;ipynb;md;cs;csx ( path:xpath | path:query ) ( me: ) ",12,133213306112360129
"ext:ps1;md;pbix;dax;pbit;sh;yml;yaml    dm:last2weeks ( me: )",2,133213202058379308
"ext:dax;pbix  ( me: )   ( path:sale|)",1,133213186726866559
"ext:dax;  ( me: )   ( path:sale|)",1,133213168437532117
"ext:pbix ( me: )   ( path:sale|)",1,133213165966783978
"ext:ps1;xlsx dm:last7days ( me: ) ",1,133211204954115584
"dm:last2years ( path:aws path:ses )",1,133210312942000210
"dm:last2weeks (  ext:ps1;md ) ( path:bdg | path:aws )",2,133210312693846106
"dm:last3weeks (  path:email ) ( path:bdg | path:aws )",1,133210291995381944
"( ( dm:last10days ext:ps1;md;yml  ( ( path:bdg | path:aws  ) ) ",1,133209626598046963
